Job Industries,Rate of Growth,Employment Rate
Software Development,7.2,89.5
Healthcare,5.1,92.3
E-commerce,8.6,78.9
Renewable Energy,12.3,67.4
Data Science,6.8,85.2
Cybersecurity,9.4,91.0
Artificial Intelligence,11.7,76.5
Construction,4.5,92.8
Marketing and Advertising,6.9,87.6
Finance and Accounting,5.8,89.1
Real Estate,3.2,81.4
Biotechnology,10.5,68.9
Education,4.3,94.2
Telecommunications,7.8,83.7
Entertainment and Media,5.6,79.8
Hospitality and Tourism,6.1,76.3
Retail,3.7,90.2
Automotive,2.9,88.7
Fashion,4.8,75.6
Agriculture,8.2,72.5
Manufacturing,3.9,87.9
Transportation and Logistics,5.4,82.4
Mining,2.3,71.3
Environmental Services,7.3,84.6
Food and Beverage,4.6,89.8
Sports and Recreation,3.1,77.1
Pharmaceuticals,6.7,70.5
Consulting,5.9,86.3
Design,6.5,80.7
Government,2.5,93.5
Nonprofit,4.1,75.8
Insurance,3.8,88.4
Architecture,4.4,82.6
Legal,2.7,90.9
Social Services,3.6,71.9
Engineering,6.4,84.3
Utilities,4.9,78.3
Human Resources,3.3,86.9
Chemical,5.2,67.8
Printing and Publishing,2.1,81.9
Art,4.0,74.4
Security,3.4,83.2
Design,2.6,69.6